Time,Node,Type,Destination,Retransmitter,Metric,SeqNumber
+455112713.0ns,45,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:0a,1990,2
+456194278.0ns,9,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:08,1107,2
+456194894.0ns,0,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:1d,6307,2
+457257073.0ns,31,Add Reactive,00:00:00:00:00:27,00:00:00:00:00:30,2043,2
+458317646.0ns,28,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:20,3034,2
+459354097.0ns,24,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:15,7259,2
+459354097.0ns,24,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:15,887,2
+459354097.0ns,24,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:15,7259,2
+459354139.0ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:15,7259,2
+459354139.0ns,21,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:15,887,2
+459354139.0ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:15,7259,2
+459438141.0ns,0,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:1d,3921,2
+460100551.0ns,20,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:19,73,2
+460687280.0ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:33,1857,2
+460687280.0ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:33,1857,2
+460688251.0ns,15,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:36,3668,2
+460688251.0ns,15,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:36,887,2
+460688251.0ns,15,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:36,3668,2
+460688346.0ns,11,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:13,1105,2
+460688346.0ns,11,Add Reactive,00:00:00:00:00:13,00:00:00:00:00:13,61,2
+460688346.0ns,11,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:13,1105,2
+461435575.0ns,18,Add Reactive,00:00:00:00:00:0c,00:00:00:00:00:0c,61,2
+461437690.0ns,7,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:15,965,2
+462497787.0ns,50,Add Reactive,00:00:00:00:00:2b,00:00:00:00:00:2b,920,3
+462498987.0ns,20,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:16,887,2
